table,columns,model_status
w_endorsement_cancel_reason_d,sequence,updated
w_endorsement_cancel_reason_d,w_integration key,updated
w_endorsement_cancel_reason_d,w_valid_from,updated
w_endorsement_cancel_reason_d,w_valid_to,updated
w_endorsement_cancel_reason_d,w_valid_flag,updated
w_endorsement_cancel_reason_d,w_created_time,updated
w_endorsement_cancel_reason_d,w_updated_time,updated
w_endorsement_cancel_reason_d,w_job_id,updated
w_endorsement_cancel_type_d,w_endo_cancel_type_id,updated
w_endorsement_cancel_type_d,endo_cancel_src_id,updated
w_endorsement_cancel_type_d,type_name,updated
w_endorsement_cancel_type_d,type_description,updated
w_endorsement_cancel_type_d,sequence,updated
w_endorsement_cancel_type_d,w_integration key,updated
w_endorsement_cancel_type_d,w_valid_from,updated
w_endorsement_cancel_type_d,w_valid_to,updated
w_endorsement_cancel_type_d,w_valid_flag,updated
w_endorsement_cancel_type_d,w_created_time,updated
w_endorsement_cancel_type_d,w_updated_time,updated
w_endorsement_cancel_type_d,w_job_id,updated
w_endorsement_status_d,w_endo_status_id,updated
w_endorsement_status_d,endo_status_src_id,updated
w_endorsement_status_d,status_name,updated
w_endorsement_status_d,w_integration key,updated
w_endorsement_status_d,w_valid_from,updated
w_endorsement_status_d,w_valid_to,updated
w_endorsement_status_d,w_valid_flag,updated
w_endorsement_status_d,w_created_time,updated
w_endorsement_status_d,w_updated_time,updated
w_endorsement_status_d,w_job_id,updated
w_fee_type_d,w_fee_type_id,updated
w_fee_type_d,fee_type_src_id,updated
w_fee_type_d,description,updated
w_fee_type_d,w_integration key,updated
w_fee_type_d,w_valid_from,updated
w_fee_type_d,w_valid_to,updated
w_fee_type_d,w_valid_flag,updated
w_fee_type_d,w_created_time,updated
w_fee_type_d,w_updated_time,updated
w_fee_type_d,w_job_id,updated
w_arap_type_d,w_arap_type_id,updated
w_arap_type_d,arap_type_src_id,updated
w_arap_type_d,description,updated
w_arap_type_d,w_integration key,updated
w_arap_type_d,w_valid_from,updated
w_arap_type_d,w_valid_to,updated
w_arap_type_d,w_valid_flag,updated
w_arap_type_d,w_created_time,updated
w_arap_type_d,w_updated_time,updated
w_arap_type_d,w_job_id,updated
w_endorsement_d,w_endo_id,updated
w_endorsement_d,w_endo_type_id,updated
w_endorsement_d,w_endo_status_id,updated
w_endorsement_d,w_cancel_type_id,updated
w_endorsement_d,w_cancel_reason_id,updated
w_endorsement_d,endo_src_id,updated
w_endorsement_d,endo_code,updated
w_endorsement_d,policy_no,updated
w_endorsement_d,proposal_no,updated
w_endorsement_d,effective_date,updated
w_endorsement_d,issue_date,updated
w_endorsement_d,created_date,updated
w_endorsement_d,content,updated
w_endorsement_d,apply_name,updated
w_endorsement_d,old_policy_exp_date,updated
w_endorsement_d,new_policy_exp_date,updated
w_endorsement_d,uw_approve_user_id,updated
w_endorsement_d,uw_approved_date,updated
w_endorsement_d,instruction_date,updated
w_endorsement_d,cancellation_reason,updated
w_endorsement_d,cancellation_type,updated
w_endorsement_d,details_cancellation_reason,updated
w_endorsement_d,commission,updated
w_endorsement_d,new_commission,updated
w_endorsement_d,gross_premium_difference,updated
w_endorsement_d,tax_free_diff,updated
w_endorsement_d,gst_difference,updated
w_endorsement_d,ri_result,updated
w_endorsement_d,re_in_statment_effective_date,updated
w_endorsement_d,final_premium,updated
w_endorsement_d,gst_on_adjusted_premium_difference,updated
w_endorsement_d,gst_on_tax_free_diff,updated
w_endorsement_d,gst_on_cancellation_charge,updated
w_endorsement_d,discount_difference,updated
w_endorsement_d,endo_reason_fn,updated
w_endorsement_d,instruction_date,updated
w_endorsement_d,final_premium_difference,updated
w_endorsement_d,under_writer_highest_level,updated
w_endorsement_d,uw_approve_user_id,updated
w_endorsement_d,endorsement_counter,updated
w_endorsement_d,adjusted_refund_premium,updated
w_endorsement_d,adjusted_vat,updated
w_endorsement_d,with_replacement,updated
w_endorsement_d,policy_dif,updated
w_endorsement_d,w_integration key,updated
w_endorsement_d,w_valid_from,updated
w_endorsement_d,w_valid_to,updated
w_endorsement_d,w_valid_flag,updated
w_endorsement_d,w_created_time,updated
w_endorsement_d,w_updated_time,updated
w_endorsement_d,w_job_id,updated
w_claim_d,w_agent_id,TBU
w_claim_d,claim_src_id,TBU
w_claim_d,claim_no,TBU
w_claim_d,...,TBU
w_claim_d,status,TBU
w_claim_d,w_integration key,TBU
w_claim_d,w_valid_from,TBU
w_claim_d,w_valid_to,TBU
w_claim_d,w_valid_flag,TBU
w_claim_d,w_created_time,TBU
w_claim_d,w_updated_time,TBU
w_claim_d,w_year_month,TBU
w_claim_d,w_job_id,TBU
w_insured_property_d,w_insured_property_engineering_id,TBU
w_insured_property_d,w_insured_id,TBU
w_insured_property_d,insured_src_id,TBU
w_insured_property_d,effective_date,TBU
w_insured_property_d,expired_date,TBU
w_insured_property_d,risk_id,TBU
w_insured_property_d,location_insured,TBU
w_insured_property_d,program,TBU
w_insured_property_d,ri_risk_level,TBU
w_insured_property_d,insured_objects,TBU
w_insured_property_d,risk_type_compulsory,TBU
w_insured_property_d,risk_type_treaty,TBU
w_insured_property_d,occupancy,TBU
w_insured_property_d,tariff_table,TBU
w_insured_property_d,tariff_rate,TBU
w_insured_property_d,w_integration key,TBU
w_insured_property_d,w_valid_from,TBU
w_insured_property_d,w_valid_to,TBU
w_insured_property_d,w_valid_flag,TBU
w_insured_property_d,w_created_time,TBU
w_insured_property_d,w_updated_time,TBU
w_insured_property_d,w_job_id,TBU
w_insured_cargo_d,w_insured_cargo_id,TBU
w_insured_cargo_d,w_insured_id,TBU
w_insured_cargo_d,bussiness_class,TBU
w_insured_cargo_d,commodity_group,TBU
w_insured_cargo_d,good_insured,TBU
w_insured_cargo_d,commodity_type,TBU
w_insured_cargo_d,invoice_no,TBU
w_insured_cargo_d,b/l_no,TBU
w_insured_cargo_d,sales_contract_no,TBU
w_insured_cargo_d,inland_transit_document_no,TBU
w_insured_cargo_d,quantity,TBU
w_insured_cargo_d,packing_category,TBU
w_insured_cargo_d,description_means_of_package,TBU
w_insured_cargo_d,container_seal_no,TBU
w_insured_cargo_d,voyage_from,TBU
w_insured_cargo_d,voyage_to,TBU
w_insured_cargo_d,trans_shipment,TBU
w_insured_cargo_d,date_of_departure,TBU
w_insured_cargo_d,to_be_advised,TBU
w_insured_cargo_d,means_of_transport,TBU
w_insured_cargo_d,means_of_transport_is_vessel,TBU
w_insured_cargo_d,vessel_name,TBU
w_insured_cargo_d,vessel_year_of_build,TBU
w_insured_cargo_d,currency,TBU
w_insured_cargo_d,freight,TBU
w_insured_cargo_d,sum_insured,TBU
w_insured_cargo_d,sales_contract_date,TBU
